,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B
0,Tue,1991-04-16,WWQ,Canada,Costa Rica,6,0,5.0,2006.0,2006.0,0.0,36.0,1630.0,1630.0,1.0,6,0,0.0,0.0,0,6,0.0,0.0
1,Tue,1991-04-16,WWQ,Costa Rica,Canada,0,6,36.0,1630.0,1630.0,1.0,5.0,2006.0,2006.0,0.0,0,6,0.0,0.0,6,0,0.0,0.0
2,Wed,1991-04-17,WWQ,Jamaica,Haiti,0,1,53.0,1449.0,1436.0,0.0,72.0,1349.0,1349.0,1.0,0,1,0.0,0.0,1,0,0.0,0.0
3,Wed,1991-04-17,WWQ,Haiti,Jamaica,1,0,72.0,1349.0,1349.0,1.0,53.0,1449.0,1436.0,0.0,1,0,0.0,0.0,0,1,0.0,0.0
4,Thu,1991-04-18,WWQ,Mexico,United States,0,12,26.0,1700.0,1698.0,1.0,1.0,2101.0,2123.0,0.0,0,12,0.0,0.0,12,0,0.0,0.0
5,Thu,1991-04-18,WWQ,Trinidad and T…,Martinique,1,1,60.0,1414.0,1414.0,-2.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0,0,0.0,0.0
6,Thu,1991-04-18,WWQ,United States,Mexico,12,0,1.0,2101.0,2123.0,0.0,26.0,1700.0,1698.0,1.0,12,0,0.0,0.0,0,12,0.0,0.0
7,Thu,1991-04-18,WWQ,Martinique,Trinidad and T…,1,1,0.0,0.0,0.0,0.0,60.0,1414.0,1414.0,-2.0,0,0,0.0,0.0,1,1,0.0,0.0
8,Fri,1991-04-19,WWQ,Jamaica,Canada,0,9,53.0,1449.0,1436.0,0.0,5.0,2006.0,2006.0,0.0,0,9,0.0,0.0,9,0,0.0,0.0
9,Fri,1991-04-19,WWQ,Haiti,Costa Rica,4,0,72.0,1349.0,1349.0,1.0,36.0,1630.0,1630.0,1.0,4,0,0.0,0.0,0,4,0.0,0.0
10,Fri,1991-04-19,WWQ,Costa Rica,Haiti,0,4,36.0,1630.0,1630.0,1.0,72.0,1349.0,1349.0,1.0,0,4,0.0,0.0,4,0,0.0,0.0
11,Fri,1991-04-19,WWQ,Canada,Jamaica,9,0,5.0,2006.0,2006.0,0.0,53.0,1449.0,1436.0,0.0,9,0,0.0,0.0,0,9,0.0,0.0
12,Sat,1991-04-20,WWQ,Martinique,United States,0,12,0.0,0.0,0.0,0.0,1.0,2101.0,2123.0,0.0,0,0,0.0,0.0,12,0,0.0,0.0
13,Sat,1991-04-20,WWQ,Trinidad and T…,Mexico,3,1,60.0,1414.0,1414.0,-2.0,26.0,1700.0,1698.0,1.0,3,1,0.0,0.0,1,3,0.0,0.0
14,Sat,1991-04-20,WWQ,Mexico,Trinidad and T…,1,3,26.0,1700.0,1698.0,1.0,60.0,1414.0,1414.0,-2.0,1,3,0.0,0.0,3,1,0.0,0.0
15,Sat,1991-04-20,WWQ,United States,Martinique,12,0,1.0,2101.0,2123.0,0.0,0.0,0.0,0.0,0.0,12,0,0.0,0.0,0,0,0.0,0.0
