,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B,Score Difference,Points Difference,Result
29,Sat,1991-04-27,WWQ,Trinidad and T…,Haiti,4,2,60.0,1414.0,1414.0,-2.0,72.0,1349.0,1349.0,1.0,4,2,1.0,5.666666666666668,2,4,1.3333333333333333,4.0,2,65.0,0
30,Sun,1991-04-28,WWQ,Canada,United States,0,5,5.0,2006.0,2006.0,0.0,1.0,2101.0,2123.0,0.0,0,5,5.666666666666668,0.0,5,0,10.666666666666666,0.0,-5,-95.0,2
31,Sun,1991-04-28,WWQ,United States,Canada,5,0,1.0,2101.0,2123.0,0.0,5.0,2006.0,2006.0,0.0,5,0,10.666666666666666,0.0,0,5,5.666666666666668,0.0,5,95.0,0
32,Sat,1991-11-16,WWC,China PR,Norway,4,0,16.0,1866.0,1871.0,-1.0,12.0,1915.0,1902.0,1.0,4,0,0.0,0.0,0,4,0.0,0.0,4,-49.0,0
33,Sat,1991-11-16,WWC,Norway,China PR,0,4,12.0,1915.0,1902.0,1.0,16.0,1866.0,1871.0,-1.0,0,4,0.0,0.0,4,0,0.0,0.0,-4,49.0,2
34,Sun,1991-11-17,WWC,Sweden,United States,2,3,9.0,1962.0,1976.0,0.0,1.0,2101.0,2123.0,0.0,2,3,0.0,0.0,3,2,8.333333333333334,0.0,-1,-139.0,2
35,Sun,1991-11-17,WWC,Brazil,Japan,1,0,10.0,1944.0,1964.0,0.0,7.0,1991.0,1984.0,1.0,1,0,0.0,0.0,0,1,0.0,0.0,1,-47.0,0
36,Sun,1991-11-17,WWC,Germany,Nigeria,4,0,2.0,2072.0,2057.0,0.0,38.0,1599.0,1586.0,1.0,4,0,0.0,0.0,0,4,0.0,0.0,4,473.0,0
37,Sun,1991-11-17,WWC,Japan,Brazil,0,1,7.0,1991.0,1984.0,1.0,10.0,1944.0,1964.0,0.0,0,1,0.0,0.0,1,0,0.0,0.0,-1,47.0,2
38,Sun,1991-11-17,WWC,New Zealand,Denmark,0,3,19.0,1815.0,1819.0,0.0,17.0,1840.0,1842.0,0.0,0,3,0.0,0.0,3,0,0.0,0.0,-3,-25.0,2
