,Rank,Points,Previous_Points,+/-,Name,Soccerway_name
136,137,956,956,-4,St. Vincent and the Grenadines,st.-vincent-and-the-grenadines
137,138,921,921,-3,Kenya,kenya
138,139,913,913,-3,Dominica,dominica
139,140,896,896,-3,Rwanda,rwanda
140,141,892,892,-3,Grenada,grenada
141,142,884,884,-3,Afghanistan,afghanistan
142,143,874,874,-3,US Virgin Islands,us-virgin-islands
143,144,873,873,-3,Uganda,uganda
144,145,867,867,-3,Mozambique,mozambique
145,146,850,850,-3,Lesotho,lesotho
146,147,837,837,-3,Malawi,malawi
147,148,804,804,-3,Eswatini,swaziland
148,149,784,784,-3,Antigua and Barbuda,antigua-and-barbuda
149,150,769,771,-150,Bhutan,bhutan
150,151,755,755,-4,Botswana,botswana
151,152,752,752,-4,Curacao,curacao
152,153,747,747,-4,Andorra,andorra
153,154,742,742,-4,Aruba,aruba
154,155,693,693,-4,Madagascar,madagascar
